               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028195,            0.016803,           0.0010171,             0.89339,             0.88433,             0.92157,             0.54574,             0.03245,            0.014429,           0.0027119,             0.00307,             0.00307,             0.00307
                  37,            0.027051,             0.01672,          0.00078698,             0.90432,             0.86594,             0.91861,              0.5287,            0.032902,            0.015127,           0.0029047,            0.002872,            0.002872,            0.002872
                  38,            0.027318,            0.016901,          0.00065727,             0.93111,             0.86157,              0.9283,             0.54738,              0.0325,             0.01471,           0.0025245,            0.002674,            0.002674,            0.002674
                  39,            0.027077,            0.016741,          0.00096038,             0.92325,             0.86576,             0.92582,             0.54085,             0.03266,            0.014661,           0.0025455,            0.002476,            0.002476,            0.002476
                  40,            0.027011,            0.016784,          0.00076991,             0.93149,             0.84981,             0.91877,             0.54475,            0.032599,            0.014862,           0.0027913,            0.002278,            0.002278,            0.002278
                  41,            0.026289,            0.015761,          0.00074893,             0.90559,             0.86925,             0.92227,             0.54103,            0.032633,            0.014915,             0.00244,             0.00208,             0.00208,             0.00208
                  42,            0.025995,            0.015806,          0.00069249,               0.912,             0.88553,             0.92612,             0.55342,            0.032195,             0.01477,           0.0024025,            0.001882,            0.001882,            0.001882
                  43,             0.02594,            0.016213,          0.00066596,             0.89582,             0.89124,             0.92269,             0.54709,            0.032544,            0.014755,           0.0024359,            0.001684,            0.001684,            0.001684
                  44,            0.026129,            0.015791,          0.00071089,             0.91504,             0.88712,             0.92917,             0.54589,            0.032479,            0.014772,           0.0022514,            0.001486,            0.001486,            0.001486
                  45,            0.025764,            0.015811,          0.00069055,             0.91483,             0.88809,             0.93096,              0.5474,            0.032268,            0.014916,           0.0024931,            0.001288,            0.001288,            0.001288
                  46,            0.025325,            0.015715,          0.00057311,             0.88948,             0.89921,             0.92803,             0.55217,             0.03196,            0.014826,           0.0024634,             0.00109,             0.00109,             0.00109
                  47,            0.024914,            0.015164,          0.00050992,              0.9069,             0.88637,             0.92271,             0.54967,            0.032365,            0.014813,           0.0025709,            0.000892,            0.000892,            0.000892
                  48,            0.024682,            0.015459,          0.00072567,             0.90667,             0.88731,             0.92343,             0.54955,            0.032328,            0.014732,           0.0026105,            0.000694,            0.000694,            0.000694
                  49,            0.024741,            0.016005,           0.0005875,             0.91759,             0.87245,             0.92251,             0.54684,            0.032139,            0.014951,            0.002542,            0.000496,            0.000496,            0.000496
